Text,Language
"Mu? bh?buchi je internet purbaru jete ?krama?a hoithil? t?h?ru ebe adhika ?krama?a sahita sammukh?na heuchhi. Sarak?r?m?ne ebe internet samparkare bhaya p?inchaanti k?ra?a madhya p?rburu madhya p?rb paschima ?ba? sem?ne eh? sahita samparkita thib? de?agudi ku dekhi?hile, te?u sem?ne bipar?ta manobh?ba prak??a karithile. Sem?ne byabas?yika sw?dh?nat?re sangr?ma karuchhanti y?h? sem?nankara sw?dh?nat?re pratibandhaka ?nith?e kintu sem?ne atyadhika ch??ithile ? sem?ne SOPA saha t?lima neithile.",Odia
 i do think the internetâ€™s under much greater attack than it has been in the past governments are now afraid of the internet because of the middle east stuff and so theyâ€™re a little more willing to listen to what i see as a lot of commercial interests that just want to make money by restricting peopleâ€™s freedoms but theyâ€™ve also seen a tremendous user reaction like the backlash against sopa i think that governments fight usersâ€™ freedoms at their own peril,English
"Mujhe lagta hai ki internet par pehle se kahin zyada hamle ho rahe hain. Sarkarein ab internet se darti hain kyunki madhya purv ke kaaran unhone ise lekar apni chintayein badha di hain, aur ve ab un vyavsayik hiton ko sunne ke liye thoda adhik tayar hain jo logon ki svatantrataon ko seemit karke paisa kamaana chahte hain, lekin unhone upayogkartao ki pratikriya ko bhi dekha hai, jaise SOPA ke khilaf backlash. Mujhe lagta hai ki sarkarein agar upayogkartao ki svatantrataon se takraati hain, to ve khud hi khatre mein pad sakti hain.",Hindi
"Nenu bhavistunnanu internet pai ippati daka unna edaina kaalamlo kante ekkuvadiga daadulu jarugutunnayi. Prabhutvamalulu ippudu internet gurinchi bhayapadutunnayi endukante madhyaprachya sambandhita vishayalu valana avi konchem jaagrathaga unnayi mariyu ee taraha vyapara prayojanalu vyaktula svechhalanu parimitim cheyadam dwara dabbu sampadinchalaane vaaru maatallanu vinadani ki marinta siddhanga unnayi. Kani vaalu SOPA lanti pratikoopala pratispandananu kuda choosaaru. Naaku anipistunte, prabhutvamalulu viniyogadarula svechhalato poraatam chesthe, vaalu daniki pratiga shikshana pondavachu.",Telugu
"Enna vaazhdhal thonudhal internet-ukku ippodhu munnadi irundha kaalamthaanum periya azhuththugal thodangudhal. Aasaiyalar ippodhu internet patri bayapadugirargal, enna madhyapracchi kaaranaththaal adhuvum avargal thunaiyum konjam kadandha mudhal tharum, idharku mela theriyaanavida. Avargal thunaiyum pothuvaga vyabasaaya suvaikkarai thavira alavukku seyyum nilaivida. Kani avargal porundhal saadhana seythellavida soppa veedhugal kooda samajikkal.",Tamil
"W? rènwéi, hùliánw?ng xiànzài miànlín de g?ngjí b? y?w?ng rènhé shíhòu d?u yào yánzhòng. Yóuyú zh?ngd?ng de y?nsù, zhèngf? xiànzài duì hùliánw?ng g?ndào hàipà, y?nc? t?men gèng yuànyì q?ngt?ng nàxi? xi?ng t?ngguò xiànzhì rénmen zìyóu lái zhuànqián de sh?ngyè lìyì. Dànshì t?men y? kàn dào le yònghù de qiángliè f?nyìng, b?rú duì SOPA de f?nduì. W? rènwéi, zhèngf? rúgu? y? yònghù de zìyóu zuòduì, jiù huì zì shí qí gu?.",Chinese
"Watashi wa, int?netto ga izen ni kurabete motto ?kina k?geki ni misetsukatte iru to omotteimasu. Ch??t? no mondai ni yoru, seifu wa ima int?netto ni taishite osore o motteimasu, soshite, hitobito no jiy? o seigen suru koto de okane o kasegu koto o nozomu sh?gy?teki riy? ni taoremasu ga, soredemo y?z? kara no k?d? ga sugoi hanpatsu o shimeshiteimasu, tatoeba SOPA ni taisuru hantai. Watashi wa, seifu ga y?z? no jiy? ni taorezu ni, j?bun ni keiken o motoduni k?d? suru koto ga hitsuy? da to omoimasu.",Japanese
"a killing closing hours of the bill passing session of the legislature woman suffrage and anti-pool room bills go down to death together"" the minneapolis tribune april",English
"Sesha samayare bil passing session ra samaya samapti hebaare, mahila matadana o anti-pool room bill eka saha mrityu pain jaauchi.",Odia
"Antim samay mein bill passing session ke samay mein, mahila matdan aur anti-pool room bills ek saath maut ke gaddhe mein gir jaate hain.",Hindi
